Module Code,MC,Module Name,Year,Semester
MA2131,4,Y2S1 Math,2,1
MA2231,2,Y2S1 MO,2,1
MA2231V,2,Y2S1 MO V,2,1
MA2132,4,Y2S2 Math,2,2
MA2232,2,Y2S2 MO,2,2
MA2232V,2,Y2S2 MO V,2,2
CS2231,2,Y2S1 CS,2,1
CS2233,2,PSC,2,2
BL2231,2,Y2S1 BO,2,1
BL2232,2,Y2S2 BO,2,2
BL2131,6,Y2 Bio,2,0
CM2231,2,Y2S2 Chem O,2,2
CM2131,6,Y2 Chem,2,0
PC2131,6,Y2 Physics,2,0
PC2231,2,Y2S2 PO,2,2
EL2131,6,Y2 English,2,0
EN2131,4,Y2 Lit,2,0
CH2531,6,Y2 Higher Chinese,2,0
CL2531,6,Y2 Normal Chinese,2,0
MH2531,6,Y2 Higher Malay,2,0
ML2531,6,Y2 Normal Malay,2,0
TH2531,6,Y2 Higher Tamil,2,0
TL2531,6,Y2 Normal Tamil,2,0
CL2231,3,Y2S1 3rd Lang Chinese,2,1
CL2232,3,Y2S2 3rd Lang Chinese,2,2
FR2231,3,Y2S1 3rd Lang French,2,1
FR2232,3,Y2S2 3rd Lang French,2,2
JP2231,3,Y2S1 3rd Lang Japanese,2,1
JP2232,3,Y2S2 3rd Lang Japanese,2,2
ML2231,3,Y2S1 3rd Lang Malay,2,1
ML2232,3,Y2S2 3rd Lang Malay,2,2
GE2131,2,Y2S1 Geography,2,1
GE2132,2,Y2S2 Geography,2,2
HU2131,2,Y2 Integrated Humanities,2,0
HY2131,2,Y2S1 History,2,1
HY2132,2,Y2S2 History,2,2
MU2131,2,Y2S1 Music,2,1
MU2132,2,Y2S2 Music,2,2
AR2131,2,Y2S1 Art,2,1
AR2132,2,Y2S2 Art,2,2
